company_id,name,link,bse,nse,industry,sector,about
NSE - SM : AAATECH,AAA Technologies Ltd,Company website,NSE - SM : AAATECH,,Computers - Software - Medium / Small,IT - Software,IT - Software >> Computers - Software - Medium / Small
531637,Praveg Communications (India) Ltd,praveg.com,531637,,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,"Sword & Shield Pharma is primarly manufacturer of pharma producats. Currently, Company is working for the marketing of the Pharma Products on Commission Basis."
532827,Page Industries Ltd,jockeyindia.com,532827,PAGEIND,Textiles - Products,Readymade Garments/ Apparells,Page Industries is engaged in the business of Manufacture of all types of textile garments and clothing accessories.
505526,Dolat Investments Ltd,dolatinvest.com,505526,DOLAT,Finance & Investments,Finance,"Dolat Investments is engaged in the trading of shares, securities and the commodities through various stock/commodities exchanges."
543232,Computer Age Management Services Ltd,camsonline.com,543232,CAMS,Miscellaneous,Miscellaneous,Miscellaneous >> Miscellaneous
532268,Accelya Solutions India Ltd,accelya.com,532268,ACCELYA,Computers - Software - Medium / Small,IT - Software,Accelya Kale Solutions Is a Software solutions provider to the global Airline and Travel Industry.
532221,Sonata Software Ltd,sonata-software.com,532221,SONATSOFTW,Computers - Software - Medium / Small,IT - Software,Sonata Software is engaged in engaged in the business of providing Information Technology Services and Solutions.
514240,Kush Industries Ltd,Company website,514240,,Textiles - Processing,Textiles,Kush Industries is engaged in the business of weaving and ceramics.(Source : 201903 Annual Report Page No: 49)
530843,Cupid Ltd,cupidlimited.com,530843,CUPID,Miscellaneous,Miscellaneous,"Cupid is engaged in business of dealing, marketing and manufacture of rubber contraceptives and allied prophylactic products."
532485,Balmer Lawrie Investment Ltd,blinv.com,532485,,Finance & Investments,Finance,"Balmer Lawrie Investment is engaged in the business of Industrial Packaging, Greases & Lubricants, Leather Chemicals, Logistic Services and Infrastructure, Refinery & Oil Field and Travel & Vacation Services in India."
543064,Suven Pharmaceuticals Ltd,suvenpharm.com,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,Pharmaceuticals,Pharmaceuticals >> Pharmaceuticals - Indian - Bulk Drugs & Formln
506597,Amal Ltd,amal.co.in,506597,,Dyes And Pigments,Chemicals,Amal is engaged in manufacturing and marketing of bulk chemicals such as Sulphuric acid and Oleum and their downstream products such as Sulphur dioxide and Sulphur trioxide.(Source : 201903 Annual Report Page No: 1)
532540,Tata Consultancy Services Ltd,tcs.com,532540,TCS,Computers - Software - Large,IT - Software,"Tata Consultancy Services Limited (the Company) and its subsidiaries (collectively together with the employee welfare trusts referred to as the Group) provide IT services, consulting and business solutions and have been partnering with many of the worlds largest businesses in their transformation journeys for the last fifty years. The Group offers a consulting-led, cognitive powered, integrated portfolio of IT, business and engineering services and solutions. This is delivered through its unique Location-Independent Agile delivery model recognised as a benchmark of excellence in software development."
541729,HDFC Asset Management Company Ltd,hdfcfund.com,541729,HDFCAMC,Finance & Investments,Finance,HDFC Asset Management Company is engaged in the business of Investment Manager.
540395,Chemcrux Enterprises Ltd,chemcrux.com,540395,,Chemicals,Chemicals,"Chemcrux Enterprises is engaged in the Business of Manufacturing or Processing of Bulk Drug intermediates like para, chlora benzoic Acid , and lasamide etc."
531652,Thirdwave Financial Intermediaries Ltd,twfil.com,531652,,Finance & Investments,Finance,Thirdwave Financial Intermediaries is not engaged in any manufacturing activities.
538896,Kanchi Karpooram Ltd,kanchikarpooram.com,538896,,Chemicals,Chemicals,Kanchi Karpooram is engaged in the business of manufacture and sale of Camphor and allied products.
534758,Cigniti Technologies Ltd,cigniti.com,534758,CIGNITITEC,Computers - Software - Medium / Small,IT - Software,Cigniti Technologies is engaged in the business of Technical Testing & Analysis.
538351,A F Enterprises Ltd,afenterprisesltd.com,538351,,Trading,Trading,AF Enterprises Ltd. is engaged in Shares and securities and Rough Emerald after taking into account the nature of product and services and the differing risk and returns on such products and services.
504132,Permanent Magnets Ltd,pmlindia.com,504132,,Electronics - Components,Consumer Durables,"Permanent Magnets is engaged in Parts and accessories of electricity and Gas meters, Cast Alloy, Permanent Magnet and Magnetic assembly."
533452,Ebixcash World Money India Ltd,weizmannforex.com,533452,EBIXFOREX,Finance & Investments,Finance,"Weizmann Forex is a part of the INR 45 billion Weizmann Group, with business interests in textile manufacturing and exports, hydro and wind-power generation, as well as foreign exchange transactions and inward money transfer."
514418,Mangalam Organics Ltd,mangalamorganics.com,514418,,Chemicals,Chemicals,"Mangalam Organics Ltd is engaged in the business of manufacturing of Camphor, Resin and Sodium Acetate."
543240,Likhitha Infrastructure Ltd,likhitha.co.in,543240,LIKHITHA,Construction,Infrastructure Developers & Operators,Infrastructure Developers & Operators >> Construction
543233,Chemcon Speciality Chemicals Ltd,cscpl.com,543233,CHEMCON,Chemicals,Chemicals,Chemicals >> Chemicals
531642,Marico Ltd,marico.com,531642,MARICO,Personal Care - Indian,FMCG,Marico is engaged in the business of Edible Oils and Hair Care.
522215,HLE Glascoat Ltd,glascoat.com,522215,,Engineering,Capital Goods-Non Electrical Equipment,"HLE Glascoat is based in the western part of India and is engaged in the business of Glass Lined Equipment - Manufacturing of Carbon Steel Glass Lined Equipment viz. reactors, receivers, storage tanks, columns, agitators, valves, pipes and fittings and other similar equipment and related spares and accessories ,Other Engineering Equipment Manufacturing of Agitated Filters and Dryers, Rotary Vacuum Paddle Dryers, other Chemical Process Equipment and related spares and accessories, Chemical - Manufacturing of organic chemicals."
543227,Happiest Minds Technologies Ltd,happiestminds.com,543227,HAPPSTMNDS,Computers - Software - Medium / Small,IT - Software,"Happiest Minds Technologies is engaged in digital Transformation for enterprises and technology providers by delivering seamless customer experiences, business efficiency and actionable insights."
542752,Affle India Ltd,affle.com,542752,AFFLE,Miscellaneous,Miscellaneous,Affle India is engaged in the business of providing mobile advertisement services through information technology and software development services for mobiles.
540115,L&T Technology Services Ltd,lnttechservices.com,540115,LTTS,Computers - Software - Medium / Small,IT - Software,"L&T Technology Services is a leading global ER&D services company with a client base comprising 69 Fortune 500 companies and 51 of the worlds top R&D spenders. The Company offers design and development solutions to clients across the entire value chain of product development and caters to all major industries including transportation, industrial products, telecom & hi-tech, medical devices and process industries.(Source : 201903 Annual Report Page No: 4)"
500092,CRISIL Ltd,crisil.com,500092,CRISIL,Miscellaneous,Credit Rating Agencies,"CRISIL is India's foremost provider of ratings, data, research, analytics and solutions. A strong track record of growth, culture of innovation and global footprint sets us apart. It has delivered independent opinions, actionable insights, and efficient solutions to over 100,000 customers. Our businesses operate from India, the US, the UK, Argentina, Poland, China, Hong Kong and Singapore."
540145,Valiant Organics Ltd,valiantorganics.com,540145,VALIANTORG,Chemicals,Chemicals,Valiant Organics is engaged in the business of Manufacturing of chemicals for Agro Intermediate and Pharma.
531495,Blue Coast Hotels Ltd,bluecoast.in,531495,NSE - BE : BLUECOAST,Hotels,Hotels & Restaurants,Blue Coast Hotels is in the business of Hospitality.
506767,Alkyl Amines Chemicals Ltd,alkylamines.com,506767,ALKYLAMINE,Chemicals,Chemicals,Alkyl Amines Chemicals is engaged in the Business of Manufacture of organic and inorganic chemical compounds.
540544,PSP Projects Ltd,pspprojects.com,540544,PSPPROJECT,Construction,Construction,"PSP Projects Limited operates as a construction company. The Company offers industrial, institutional, government, and residential projects construction, as well as allied services including planning, designing, and post-construction activities."
540005,Larsen & Toubro Infotech Ltd,lntinfotech.com,540005,LTI,Computers - Software - Large,IT - Software,"Larsen & Toubro Infotech is offers extensive range of IT services like application development, maintenance and outsourcing, enterprise solutions, infrastructure management services, testing, digital solutions and platform-based solutions to the clients i"
532326,Intense Technologies Ltd,in10stech.com,532326,INTENTECH,Computers - Software - Medium / Small,IT - Software,"Intense Technologies Limited operations relates to software product development, solutions and related services."
542650,Metropolis Healthcare Ltd,metropolisindia.com,542650,METROPOLIS,Healthcare,Healthcare,Metropolis Healthcare Ltd is engaged in the business of providing pathology and related healthcare services.
532466,Oracle Financial Services Software Ltd,oracle.com/financialservices,532466,OFSS,Computers - Software - Medium / Small,IT - Software,"Oracle Financial Services Software is engaged in the business of developing, selling and marketing computer software, computer system."
500407,Swaraj Engines Ltd,swarajenterprise.com,500407,SWARAJENG,Engines,Capital Goods-Non Electrical Equipment,Swaraj Engines is in the business of manufacturing diesel engines and hi-tech engine components. Diesel Engines are specifically designed for tractor application.
538565,Vistar Amar Ltd,vistaramar.com,538565,,Trading,Trading,Vistar Amar is engaged in trading in fish and fish related activities.
533229,Bajaj Consumer Care Ltd,bajajconsumercare.com/,533229,BAJAJCON,Personal Care - Indian,FMCG,"Bajaj Consumer Care is engaged in the business of cosmetics, toiletries and other personal care products. The Company has presence in both domestic and international markets.(Source : 201903 Annual Report Page No: 98)"
512453,Shri Jagdamba Polymers Ltd,shrijagdamba.com,512453,,Packaging,Packaging,"Shri Jagdamba Polymers is engaged in the business of technical textile, geo textile and other allied products i.e. manufacturing of PP/ HDPE woven and non-woven fabrics and bags."
NSE - SM : RKEC,RKEC Projects Ltd,Company website,NSE - SM : RKEC,,Construction,Construction,"RKEC Projects Limited, formerly RKEC Projects Private Limited, is a construction company, which is primarily engaged in the business of civil construction, such as construction of highways, roads and bridges."
541179,ICICI Securities Ltd,icicisecurities.com,541179,ISEC,Finance & Investments,Finance,"ICICI Securities is engaged in the business of broking (institutional and retail), distribution of financial products, merchant banking and advisory services.(Source : 201903 Annual Report Page No: 162)"
500463,AGC Networks Ltd,agcnetworks.com,500463,NSE - BE : AGCNET,Telecommunications - Equipment,Telecomm Equipment & Infra Services,"AGC Networks is a global information, communications technology (ICT) solutions provider and Integrator seamlessly delivering technology based solutions across global markets and verticals layered with a spectrum of applications and services."
540212,TCI Express Ltd,tciexpress.in,540212,TCIEXP,Couriers,Miscellaneous,"TCI Express is engaged in the Business of Cargo handling incidental to Land, Water & Air Transport."
507815,Gillette India Ltd,pg.com/en_IN,507815,GILLETTE,Personal Care - Multinational,FMCG,"Gillette India is engaged in the manufacturing and sale of branded packaged fast moving consumer goods in the grooming, portable power and oral care businesses."
533121,Expleo Solutions Ltd,sqs-bfsi.com,533121,EXPLEOSOL,Computers - Software - Medium / Small,IT - Software,Expleo Solutions is engaged in the business of Software Testing Service.
543234,Secmark Consultancy Ltd,secmark.in,543234,,Computers - Software - Medium / Small,IT - Software,IT - Software >> Computers - Software - Medium / Small
524742,Caplin Point Laboratories Ltd,caplinpoint.net,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,Pharmaceuticals,"Caplin Point Laboratories is engaged in the business of pharmaceuticals - producing, developing and marketing wide range of generic formulations and branded products and exporting to overseas market.(Source : 201903 Annual Report Page No: 109)"
506401,Deepak Nitrite Ltd,deepaknitrite.com,506401,DEEPAKNTR,Chemicals,Chemicals,"Deepak Nitrite manufactures Basic Chemicals, Fine & Speciality Chemicals and Performance Products.(Source : 201903 Annual Report Page No: 141)"
514183,Black Rose Industries Ltd,blackrosechemicals.com,514183,,Trading,Trading,"Black Rose Industries is primarily in the business of chemical distribution and chemical manufacturing, as well as textile manufacturing and renewable energy generation."
543213,Rossari Biotech Ltd,rossari.com,543213,ROSSARI,Chemicals,Chemicals,Chemicals >> Chemicals
500825,Britannia Industries Ltd,britannia.co.in,500825,BRITANNIA,Food - Processing - MNC,FMCG,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt."
539469,Panorama Studios International Ltd,ainvest.co.in,539469,,Entertainment / Electronic Media Software,Entertainment,"Apunka Invest Commercial open its wings more than 20years ago dealing in busines of buyers, sellers, Suppliers, Investor, Trader od consumer and household goods and slowly spreads its wings to the Investment company and invest in and acquire or otherwise deals in shares, debentures, bonds, obligations and securities issued/guaranteed by Government, state, Dominion in India or elsewhere."
506854,Tanfac Industries Ltd,tanfac.com,506854,,Chemicals,Chemicals,"Tanfac Industries is engaged in business of Aluminium Fluoride, AHF Acid And Sulphuric Acid and Speciality Chemicals."
512573,Avanti Feeds Ltd,avantifeeds.com,512573,AVANTIFEED,Food - Processing - Indian,Miscellaneous,Avanti Feeds is engaged in the Business of Shrimp Feed.
539957,Mahanagar Gas Ltd,mahanagargas.com,539957,MGL,Miscellaneous,Gas Distribution,"Mahanagar Gas Ltd is in the business of City Gas Distribution (CGD), presently supplying Natural Gas in the city of Mumbai including its adjoining areas and the Raigad district, in the State of Maharashtra, India."
524200,Vinati Organics Ltd,vinatiorganics.com,524200,VINATIORGA,Chemicals,Chemicals,Vinati Organics is engaged in manufacturing of speciality organic intermediates and monomers.
523782,Mitshi India Ltd,derapaints.net,523782,,Trading,Trading,Mitshi India is engaged in the business of trading in segment of fruits & vegetable products.
522014,United Drilling Tools Ltd,unitedrilling.com,522014,UNIDT,Engineering,Capital Goods-Non Electrical Equipment,United Drilling Tools is engaged in a leading manufacturer of Oil Drilling Equipment in the country.
539938,Medico Intercontinental Ltd,iclf.co.in,539938,,Trading,Trading,Medico Intercontinental is engaged in the business of Trading of Pharmaceutical Products. (Source : 202003 Annual Report Page No:35)
511549,Morarka Finance Ltd,morarkafinance.in,511549,,Finance & Investments,Finance,Morarka Finance is engaged in Business of Dividend Income and Management Consultancy Fees.
500185,Hindustan Construction Company Ltd,hccindia.com,500185,HCC,Construction,Construction,Hindustan Construction Company is principally engaged in the business of providing engineering and construction services.
NSE - SM : THEJO,Thejo Engineering Ltd,Company website,NSE - SM : THEJO,,Engineering,Engineering,"Thejo Engineering is engaged in the business of Engineering Solutions provider for Bulk Material Handling, Mineral Processing and Corrosion Protection to the Core Sector Industries like mining, power, steel, cement, ports and fertilizers."
539876,Crompton Greaves Consumer Electrical Ltd,crompton.co.in,539876,CROMPTON,Electric Equipment,Capital Goods - Electrical Equipment,Crompton Greaves Consumer Electricals is engaged in the Business of Electrical Consumer Durables and Lighting Products.
539871,Thyrocare Technologies Ltd,thyrocare.com,539871,THYROCARE,Healthcare,Healthcare,"Thyrocare Technologies is engaged in the business of healthcare industry and is involved in providing quality diagnostic services at affordable costs to patients, laboratories and hospitals in India."
522195,Frontier Springs Ltd,frontiersprings.co.in,522195,,Auto Ancillaries,Auto Ancillaries,"Frontier Springs Ltd. is the world's leading manufacturer of hot wound springs for transportation, industrial and government applications."
500488,Abbott India Ltd,abbott.co.in,500488,ABBOTINDIA,Pharmaceuticals - Multinational,Pharmaceuticals,"Abbott India is engaged in the business of manufacturing, selling, distribution and marketing of Pharmaceuticals."
542770,Alphalogic Techsys Ltd,Company website,542770,,Computers - Software - Medium / Small,IT - Software,IT - Software >> Computers - Software - Medium / Small
521178,Sri Ramakrishna Mills (Coimbatore) Ltd,ramakrishnamills.com,521178,,Textiles - Cotton/Blended,Textiles,ABOUT
524790,Everest Organics Ltd,everestorganicsltd.com,524790,,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,Everest Organics is engaged in the business of Manufacture of Active Pharmaceutical Ingredients & Intermediaries.
500408,Tata Elxsi Ltd,tataelxsi.com,500408,TATAELXSI,Computers - Software - Medium / Small,IT - Software,Tata Elxsi is The Company provides product design and engineering services to the consumer electronics communications &transportation industries and systems integration and support services for enterprise customers It also provides digital content creatio
543239,G M Polyplast Ltd,gmpolyplast.com,543239,,Plastics Products,Plastic products,Plastic products >> Plastics Products
507526,Associated Alcohols & Breweries Ltd,associatedalcohols.com,507526,ASALCBR,Breweries & Distilleries,Alcoholic Beverages,"Associated Alcohols & Breweries business is manufacturing and trading of ENA, Indian Made Indian Liquor (Country Liquor), Indian Made Foreign Liquor and Hand sanitizer."
517174,Honeywell Automation India Ltd,honeywell.com/en-us/global/en-in/hail,517174,HONAUT,Electronics - Components,Consumer Durables,Honeywell Automation India is engaged primarily in the business of Automation & Control systems on turnkey basis and otherwise.
500331,Pidilite Industries Ltd,pidilite.com,500331,PIDILITIND,Chemicals,Chemicals,"Pidilite Industries is engaged in manufactures/provides Adhesives & Sealants, Construction Chemicals/ Paint Chemicals, Art & Craft Materials.(Source : 201903 Annual Report Page No: 85)"
542066,Adani Gas Ltd,adanigas.com,542066,ADANIGAS,Miscellaneous,Gas Distribution,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users."
522294,T & I Global Ltd,tiglobal.com,522294,,Trading,Trading,T&I Global is engaged in manufacturing and trading of processing machineries for tea and herbal having tea estate and factory.
541556,Rites Ltd,rites.com,541556,RITES,Engineering - Turnkey Services,Infrastructure Developers & Operators,"RITES is engaged in the business of Export Sales, Consultancy, Inspection Fee, Services for Turnkey Construction Projects."
532702,Gujarat State Petronet Ltd,gspcgroup.com,532702,GSPL,Miscellaneous,Gas Distribution,"Gujarat State Petronet is primarily engaged in transmission of natural gas through pipeline on an open access basis from supply points to demand centers. Further, it is also engaged in generation of electricity through Windmills."
540699,Dixon Technologies (India) Ltd,dixoninfo.com,540699,DIXON,Electronics - Consumer,Consumer Durables,"Dixon Technologies (India) is engaged in the Business of LED TV ,LED Bulb,Washing Machine and Others."
590021,Bharat Rasayan Ltd,bharatgroup.co.in,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,Agro Chemicals,Bharat Rasayan is engaged in a backward integration project to manufacture Technical Grade Pesticides and Intermediates confirming to International Standards.(Source : 201903 Annual Report Page No: 102)
542654,V R Films & Studios Ltd,vrfilms.in,542654,,Entertainment / Electronic Media Software,Entertainment,Entertainment >> Entertainment / Electronic Media Software
506820,Astrazeneca Pharma India Ltd,astrazenecaindia.com,506820,ASTRAZEN,Pharmaceuticals - Multinational,Pharmaceuticals,"Astrazeneca Pharma India is engaged in the business of manufacture, distribution and marketing of pharmaceutical products."
532384,Tyche Industries Ltd,tycheindustries.com,532384,,Chemicals,Chemicals,Tyche Industries is engaged in Business of Pharmaceutical Products.
539229,Majestic Research Services & Solutions Ltd,mrssindia.com,539229,,Miscellaneous,Miscellaneous,Majestic Research Services and Solutions Limited is an India-based market research agency. The Company offers a range of qualitative and quantitative research services both nationally and internationally.
500820,Asian Paints Ltd,asianpaints.com,500820,ASIANPAINT,Paints / Varnishes,Paints/Varnish,"Asian Paints is engaged in the Business of Manufacture of paints, varnishes, enamels or lacquers, Manufacture of surfacing preparations; organic composite solvents and thinners, and other related product, Manufacture of organic and inorganic chemical compounds and Manufacture of metal sanitary ware such as bath, sinks, washbasins and similar articles."
502589,Vapi Paper Mills Ltd,vapienterprise.com,502589,,Paper,Paper,Vapi Enterprise is engaged in the business of Paper and Paper Products.
533339,Zen Technologies Ltd,zen.in,533339,ZENTEC,Computers - Software - Medium / Small,IT - Software,"Zen Technologies is engaged in design, development and manufacture of Training Simulators for Police and Para- military Forces, Armed Forces, Security Forces, Government Departments like Transport, Mining, Infrastructure and Civilian market. The products of the company are divided into 3 major categories viz. Land-based Military Simulators, Driving Simulators and Mining & Special Equipment Simulators."
505302,Lakshmi Automatic Loom Works Ltd,lakshmiautomatic.com,505302,,Textile Machinery,Engineering,"Lakshmi Automatic Loom Works is engaged in the business of manufacturing spares and accessories for C type automatic weaving machines, circular knitting machines and parts for machine tools. The revenue from operations includes warehousing rental services."
541557,Fine Organic Industries Ltd,fineorganics.com,541557,FINEORG,Chemicals,Chemicals,"Fine Organic Industries is engaged in a manufacturers, processors, suppliers, distributors, dealers, importers, exporters of wide range of oleochemical-based additives used in foods, plastics, cosmetics, coatings and other specialty application in various industries."
500660,Glaxosmithkline Pharmaceuticals Ltd,gsk-india.com,500660,GLAXO,Pharmaceuticals - Multinational,Pharmaceuticals,"GlaxoSmithKline Pharmaceuticals in the business of manufacturing, distributing and trading in pharmaceuticals."
524520,KMC Speciality Hospitals (India) Ltd,kmcspecialityhospital.in,524520,,Healthcare,Healthcare,KMC Speciality Hospitals (India) is a healthcare services and pharmacy company. The Company is engaged in providing medical and healthcare services.
540737,Shree Ganesh Remedies Ltd,ganeshremedies.com,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,Pharmaceuticals,Shree Ganesh Remedies is engaged in the business of Pharma Intermediate.
500209,Infosys Ltd,infosys.com,500209,INFY,Computers - Software - Large,IT - Software,"Infosys (the Company or Infosys) is a leading provider of consulting, technology, outsourcing and next-generation digital services, enabling clients to execute strategies for their digital transformation. Infosys strategic objective is to build a sustainable organization that remains relevant to the agenda of clients, while creating growth opportunities for employees and generating profitable returns for investors. Infosys strategy is to be a navigator for our clients as they ideate, plan and execute on their journey to a digital future."
500875,ITC Ltd,itcportal.com,500875,ITC,Cigarettes,Tobacco Products,"ITC has a diversified presence in FMCG, Hotels, Packaging, Paperboards & Specialty Papers and Agri-Business. Most of its revenue comes from cigarette manufacturing and sales."
NSE - SM : GLOBAL,Global Education Ltd,Company website,NSE - SM : GLOBAL,,Miscellaneous,Education,Global Education is engaged in business segment viz. &Educational Training and Development Activities.(Source : 201903 Annual Report Page No: 19)
500214,Ion Exchange (India) Ltd,ionindia.com,500214,,Engineering,Capital Goods-Non Electrical Equipment,"Ion Exchange (India) is engaged in a wide range of solutions across the water cycle from pre-treatment to process water treatment, waste water treatment, recycle, zero liquid discharge, sewage treatment, packaged drinking water, sea water desalination etc.(Source : 201903 Annual Report Page No: 63)"
